title,time,type,description,icon
World cafe,,,"Сначала мы выбираем темы для каждого столика в кафе. 

1) каждая команда разрабатывает идеи для своего проекта (10 минут)

2) после этого один человек из команды остается за столом, а другие двигаются к другим командам

3) хост называет проект, его цель, зачитывает идеи — 2 минуты, гости озвучивают свои мысли (правила; не критиковать озвученные идеи, называть только новые) – здесь тайминг уменьшается: 7 минут, 5 минут, 3 минуты.

4) команды переходят на новые посты по часовой стрелке

5) когда команда возвращается на свое место, есть время на интеграцию всего, что было придумано (20 минут)

6) презентация командами проектов (первых шагов или вопросов, на которые нужно найти ответы)",📄
"Вопросы себе по итогам дня, вечерний дневник",,,"Опираясь на работу Рона Клага, Марк Смит предлагает набор вопросов для ведения «вечернего дневника» — отчета о прожитом дне:

Возвращаясь мысленно к прожитому дню, на что я обращаю внимание больше всего? Каковы были наиболее важные события?
Что сделало этот день уникальным, отличным от всех иных?
Были ли у меня какие-то особенно осмысленные разговоры?
Читал ли я что-то? Как я отнесся к прочитанному, что извлек из него?
Какое у меня было настроение в течение дня? Какие были эмоциональные «взлеты» и «падения»? С чем они были связаны? Понимаю ли я, что они значат для меня в контексте моей духовной практики и развития?
Беспокоился ли я о чем-то сегодня?
Что больше всего радовало меня сегодня? Что мне удалось совершить сегодня?
Было ли что-то, что мне не удалось? Чему я могу из этого научиться?
Чему я научился сегодня? В какие моменты я чувствовал себя наиболее живым?
От чего я сегодня уклонялся, отлынивал, что откладывал, чего избегал?",📓
Ревизия 90 дней,,Бизнес,"- Поразмышляйте о прошедшем квартале: чем из достигнутого вы гордитесь?
- Что из того, на чем вы сейчас сосредоточены и в чем замечаете прогресс, укрепляет вашу уверенность?
- Поразмышляйте о предстоящих 90 днях: какие нововведения, проекты или цели вызывают у вас чувство предвкушения?
- Какие пять «скачков» (сжатый прогресс) вы можете совершить, чтобы сделать следующие 90 дней замечательными вне зависимости от того, что ещё может произойти?
- Кто вам может в этом помочь?",🎯
Ретроспектива недели,,Планирование,"**Оцените по 10-бальной шкале:**

- каков был уровень физической энергии? качество сна?
- какой в целом уровень счастья в жизни? какие моменты приходят?
- уровень счастья в деятельности?
- качество отношения с близкими?
- качество отношений на работе?
- что давало энергию?
- что забирало энергию?

Что беру ценного из прошедшей недели?",🎯
Дневник личного и профессионального развития,,Профессиональное развитие,"Что я сделал хорошо?

Что мне помогло сделать это хорошо (какие умения, знания, качества, опыт)?

Что бы я сделал в аналогичной ситуации по-другому в следующий раз?

Чему мне для этого необходимо научиться? На какие вопросы найти ответы для себя?

Какие направления из этого прорастают?

Полное описание:

Эту методику я нашла году в 2003-2004 на сайте университета Массей в Новой Зеландии, дисциплина «психология сообществ».

Будущим психологам сообществ предлагалось завести блокнот или тетрадку и на внутренней стороне обложки записать себе четыре вопроса:

1. Что я сделал хорошо?

2. Что это говорит о том, что для меня важно? Какие у меня есть умения?

3. Что бы я в следующий раз стал делать по-другому?

4. Чему мне для этого необходимо научиться?

Эти наводящие вопросы помогают занять активную позицию в учении — в любом контексте.

Оценки за этот дневник студентам не ставились, естественно, но примерно раз в три месяца студенты должны были представить своему супервизору рефлексивное эссе на 2-3 страницы, в котором им предлагалось ответить на следующие вопросы:

1. Какие темы повторяются?

2. Чего не хватает из того, что должно бы быть?

3. Какие изменения произошли в записях?

4. Что стало более важным?

5. Что стало менее важным?

6. Как изменилось с тех пор ваше восприятие и понимание ситуаций?

7. Как изменилось ваше представление о том, что значит «быть профессионалом»?

8. В чем вы стали более уверены?

9. С какими ситуациями вы стали справляться лучше?

Обсуждение этого эссе с супервизором, насколько я понимаю, и являлось «зачетом».

Это хорошая методика, с которой можно начать знакомство с письменными практиками, чтобы понять, «ваше» это или «не ваше». Можно попробовать ее в «кратком» варианте, поставив таймер на 5-10 минут и отвечая на каждый из 4 основных вопросов не особенно развернуто. Если у вас есть больше времени, можно уделить работе с этой методикой 15-20 минут за один присест. После работы, как всегда, имеет смысл «сделать внутри себя шаг назад» и записать рефлексивный отклик.",📓
Быть и иметь,,,"Сформулируйте ответы на любой из этих вопросов (можно на оба): кем я хочу быть? что я хочу иметь?

Далее работаете со своими ответами следующим образом.

❓Вопрос: ""Кем я хочу быть?""
Ответ: ____________

Вопрос: Во что такое я верю о самом себе и об устройстве мира, что не позволяет мне уже сейчас быть тем, кем мне хочется?
Ответ: ____________

Вопрос: Судя по моим верованиям о себе и убеждениям об устройстве мира какого жизненного опыта и переживаний я избегаю?
Ответ: ____________

❓Вопрос: ""Что я хочу иметь?""
Ответ: ____________

Вопрос: Во что такое я верю о самом себе и об устройстве мира, что не позволяет мне уже сейчас иметь то, что мне хочется?
Ответ: ____________

Вопрос: Судя по моим верованиям о себе и убеждениям об устройстве мира какого жизненного опыта и переживаний я избегаю?
Ответ: ____________

❗️Ваши ответы об избегаемом опыте и переживаниях указывают на те архетипические истории, которые настырно требуют проживания. Это те самые ""демоны моста"" по Арнольду Минделлу - то, что не пускает вас к желаемому ""быть"" и ""иметь"".

Что вам кажется лучшим решением? Что хочется сделать, как поступить с найденным?",📄
Личная аллея славы,,,"- [ ]  Выпишите все свои сильные стороны и достижения
- [ ]  Как ваша работа влияет на жизни людей (какие результаты за результатами?)
- [ ]  Соберите отзывы
- [ ]  Выпишите всю критику и все вопросы, которые вы бы не хотели получить. И ответьте на них",📄
Бесит: вопросы для нахождения золота в тени,,,"1. Кто бесит, триггерит, цепляет? 
    
    ![Снимок экрана 2021-12-10 в 17.42.05.png](%D0%91%D0%B5%D1%81%D0%B8%D1%82%20%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D1%8B%20%D0%B4%D0%BB%D1%8F%20%D0%BD%D0%B0%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%B0%20%D0%B2%20%D1%82%D0%B5%D0%BD%D0%B8/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2021-12-10_%D0%B2_17.42.05.png)
    
2. Какой это человек?
    
    ![Снимок экрана 2021-12-10 в 17.42.57.png](%D0%91%D0%B5%D1%81%D0%B8%D1%82%20%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D1%8B%20%D0%B4%D0%BB%D1%8F%20%D0%BD%D0%B0%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%B0%20%D0%B2%20%D1%82%D0%B5%D0%BD%D0%B8/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2021-12-10_%D0%B2_17.42.57.png)
    
3. Что противоположно Тени? Какое качество ты развиваешь, чтобы не быть Тенью?
    
    ![Снимок экрана 2021-12-10 в 17.43.15.png](%D0%91%D0%B5%D1%81%D0%B8%D1%82%20%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D1%8B%20%D0%B4%D0%BB%D1%8F%20%D0%BD%D0%B0%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%B0%20%D0%B2%20%D1%82%D0%B5%D0%BD%D0%B8/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2021-12-10_%D0%B2_17.43.15.png)
    
4. Что для этого человека становится возможным с таким/и качеством(ами)? 
    
    ![Снимок экрана 2021-12-10 в 17.43.28.png](%D0%91%D0%B5%D1%81%D0%B8%D1%82%20%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D1%8B%20%D0%B4%D0%BB%D1%8F%20%D0%BD%D0%B0%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%B0%20%D0%B2%20%D1%82%D0%B5%D0%BD%D0%B8/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2021-12-10_%D0%B2_17.43.28.png)
    
5. Интеграция
    
    ![Снимок экрана 2021-12-10 в 17.44.03.png](%D0%91%D0%B5%D1%81%D0%B8%D1%82%20%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D1%8B%20%D0%B4%D0%BB%D1%8F%20%D0%BD%D0%B0%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%B0%20%D0%B2%20%D1%82%D0%B5%D0%BD%D0%B8/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2021-12-10_%D0%B2_17.44.03.png)",📄
Пять С для лидера,,,"На что стоит опираться, чтобы выбираться из высокой травы (кучи дел на уровне «как делаем») на балкон (с видом на то, вообще что, почему и зачем делаем).

«five C’s» обычно используются, чтобы описать желаемый результат, но также можно воспринимать и как ступеньки на балкон и обратно на танцпол.

Пять слов Брене, начинающихся в оригинале с буквы С — лестница, по которой можно как подняться с танцпола на балкон, так и спуститься обратно. Лидер берет команду за руку и ведёт в нужном направлении (Брене шутит: а не орет с балкона, как я обычно).

Эти пять ступенек на букву С — «третье место», возможность выйти с любого из двух уровней и перегруппироваться, а затем войти на другой.

Это и есть работа лидера.

### **Пять С**

***Яркость*, или color**

Почему мы вообще это делаем?

Нужно нарисовать себе полную картину ситуации, соединяясь с ясным намерением и своей целью. Нужно суметь представить себе, как выглядит результат (paint “done”), и объяснить команде.

Пример: подкаст давно выходит, и всё, о чем думает команда — это даты релиза и какие гости отвалились невовремя. А что, если вспомнить, для чего мы вообще это делаем. Как сделать процесс интересным? Как бросить себе какой-нибудь амбициозный приятный вызов? Кого мы вообще хотим сейчас звать в гости?

***Контекст*, или context**

Что ещё происходит?

Взлететь над одной задачей на уровень птичьего полёта и посмотреть, в каком контексте мы живем. Приближается ли праздник, с которым нужно согласовать тему выступления, чтобы не казалось странно? Что делает соседний отдел? Как этот запуск повлияет на соседние проекты? Что делают конкуренты?

Пример с подкастом: а что в мире творится? Что с ковидом, что по важным мировым новостям? С чем мы хотим засинхрониться и с кем поработаем?

***Связанность*, или connective tissue**

Как стратегия по этому куску вливается в общую стратегию? Противоречат ли они друг другу?

Команда должна понимать не только что делаем в конкретной точке, но и как это связано с тем, что уже случилось и что произойдёт дальше. Каждая задача понемногу приближает великое будущее, и нужно, чтобы это понимали.

Пример с подкастом: ой, а у нас же ещё скоро книга выходит. Надо по ней сделать выпуски подкаста. Чуть не забыли.

***Цена* или cost**

Сколько сил, денег и других ресурсов нужно затратить на эту задачу? Какие у нас варианты по цене, из чего мы выбираем?

Пример: можем ли мы себе позволить сейчас не делать подкаст? А сколько денег и сил мы потратим, продолжая?

***Последствия* или сonsequence**

Каковы риски действия и бездействия? С какими последствиями мы столкнёмся?

Итак, мы узнали, что Брене специалистка по кричанию на людей со стратегического балкона. Баррет же, напротив, всегда пасёт ближайшую картинку событий — на танцполе ей бьют в уши басы событий.

Может ли так быть, осторожно спрашивает Баррет, что мне не просто легко и приятно на танцполе. А иногда я там специально прячусь от некомфортной необходимости подниматься по ступенькам на балкон, раз это плохо мне даётся?

Абсолютно точно так и есть, — любезно отвечает Брене, которая, наоборот, часто прячется за своим «творческим вИдением», чтобы не погружаться в то, сколько это стоит и можно ли сделать похуже и быстрее. «Если вы хотите, чтобы я написала хорошую книгу, мне надо дать 2 года!» — кричит она с балкончика с видом оскорбленной творческой персоны (как будто забывая, что руководит группой компаний… что вообще-то обязывает ее не игнорировать и бизнес-сторону).

I use what I’m good at… to protect me from the stuff I don’t want to acknowledge.

Спрыгнуть с балкона на танцпол — опасно, можно и ноги поломать. А запрыгнуть наверх сложно. Поэтому надо тихонько идти по лесенке из пяти С.

…а ещё лучше не идти, а танцевать вниз или вверх, как Хью Грант в роли премьер-министра, говорит Брене (и они долго гуглят название фильма, который Баррет не смотрела, поэтому не понимает отсылку).",📄
Журнал для наблюдения за жучком,,,"Однажды Коллинз завел блокнот, который назвал «Журналом для наблюдения за жучком» — как это делают натуралисты. Таким образом он смог получить более объективные данные о себе и принимать важные решения.

«Я был тем самым жучком по имени Джим. Я решил наблюдать за собой со стороны. Именно так я понял, что я собираюсь делать по жизни.

Я делал там примерно такие записи: “Жучок Джим любит искать смысл, разбираться в чем-то по-настоящему сложном, раскладывать это по полочкам и доносить это до людей, учить их”. Подобные наблюдения и привели меня к преподавательской деятельности в Стэнфорде, когда мне было 30 лет. Это стало началом моей карьеры».",📓
Практика прорастания талантов,,,"Мозг благодарен за использование талантов. Живая система любит усиливать сильное. Ты используешь себя «по инструкции», по назначению.

Здесь много радости и максимальная скорость развития.

Мы быстро учимся там, где нам интересно.

### Шаг 1

Какие таланты от меня просит год? Какие сильные стороны пригодятся мне в этом году?

(дать меню вариантов)

Когда мы применяем таланты, мы чувствуем себя сильными. Радость, сила, расширение. В каких делах я большая?

(дополнить список)

### Шаг 2

Написать к каждому таланту конкретные истории: как проявляются семечки талантов

### Шаг 3

Проговорить партнерам: у меня есть сильные стороны... и это круто мне поможет в этом году, потому что я буду применять их вот так... 

Партнёры слушают и возвращают, докручивая: это круто, и ты можешь ещё... 

(как ещё можно применить силу?)

Тот, кто говорит, молчит, пишет и дышит",📄
33 желания,,,"Я как сапожник без сапог, уже почти закончились каникулы, а я не закончила свою собственную карту желаний на этот год.

Сижу, пишу, подглядываю в наш мастер-класс. Вообще это удивительно, когда ты знаешь все в теории, и сама это все показываешь, но когда проходишь - все равно ловишь инсайты.

Вот я придумываю свои 33 желания. Это совсем не так легко, как кажется. С первыми легко – о да, хочу влюбиться! хочу много денег! хочу похудеть!  Хочу красивый дом!

Потом сложнее - начинаю вспоминать:

- А про что я себе говорю ""обойдешься, у тебя и так все есть""? Хмм. Гардероб! Я же еще коньки не сносила. Эх, вот бы взять и все новое красивое купить, а? Записываем.
- А про что я себе говорю ""это неразумно, надо подождать?"" - офигенный дорогой отпуск с детьми! Который год ""вот когда будут деньги..."" Записываем.
- А за какие желания я себя стыжу? Ух как тут интересно. Тут все про красоту -- хочу виниры. блефаропластику. новые протезы. убрать вены. Нет, это очень стыдно и нельзя хотеть, потому что продвинутая Оля не должна иметь комплексов по поводу внешности.... Записываем.
- А чего не может быть, потому что так не бывает? Самое неосуществимое? Хммм. Принцев, как из мечты. Юникорнов, продающихся за миллионы. Записываем.

А теперь самое главное и самое сложное.

Про какие потребности эти мои желания? На какие острова души я наклею желтые листочки?

Их пять, наших базовых эмоциональных потребностей:

- В безопасной привязанности
- В автономии
- В спонтанности и отдыхе
- В свободе выражать свои чувства и желания
- В здоровых границах

Как мне понять, про что каждое мое желание? Я кручу их и рассматриваю - а какая я в этом?

Какая я, с детьми в отпуске? Про что этот отпуск, про отпуск ли? Или про осмелиться? Или про свободу взять, решить и сделать? Или про то, что я снова буду волшебником для детей?

И вот тут накатывают слезы, поднимается комок - вот оно! Это не про дорогой отпуск! И даже не про право потратить деньги!

Этот отпуск -  про бессилие родителя, третий год вынужденного смотреть, как чертов мир выпивает жизненные силы моих детей. Про их затухающие в карантинах глаза. Про проносящиеся в мимо годы их детства, про то, как мне яростно и обидно, что я вынуждена кормить их этим бессилием ""надо подождать, надо потерпеть"". Это про мою потребность быть сильной, смелой, защитить их, и творить мир по-своему усмотрению. Это про автономию. Самостояние. Смелость.

А потом я кручу следующее. Зачем мне виниры? Чтобы не стесняться улыбаться. А какая я буду, когда перестану стесняться? Открытая? Привлекательная? Уверенная в себе? Красивая? Сногсшибательная?

И я вылавливаю в них, во всех подтяжках, похудениях, болючую неуверенность в привлекательности, гадкое чувство, что иначе я не хороша, не годна. И что за ними стоит страх отвержения, а значит - это про потребность в близости, чтобы быть принятой, замеченной, любимой.

И я вылавливаю, что желание дома - это про желание выразить себя, про свое пространство, про то, чтобы зазвучать в вещах - вот это - я. Это - мой дом. Этот дом - про меня.

И что желание влюбиться - оно не про мужика в доме, совсем не хочу мужика в доме и тягомотину отношений - оно про спонтанность, про то, чтобы в жизни появились моменты легкости, про отливающие огнями дождевые мостовые и сказку, про театры и шампанское, про флирт и легкость.

И я загадываю настоящие желания.

Я хочу в своей жизни флирта, сказки, легкости, спонтанности. Хочу чувствовать себя летящей, свободной, игривой. И я ищу картинки про это.

Я хочу чувствовать себя любимой, нужной, замеченной, красивой. Хочу быть увиденной такой.

И я ищу картинки про это.

Хочу почувствовать уверенность, что я могу, что я не щепка в ручье, что я творю этот мир для себя и своих детей. Что я сильная. Я смею.

И я ищу картинки про это.

И у меня рождается карта желаний, на которой не гардероб, блефаропластика и выступление на Тед, а все оттенки свободы, смелости, уверенности. На ней - мои эмоции, от которых поет моя душа.

И когда я гляжу на них, я чудесным образом начинаю к ним двигаться.

Отказываюсь от колонки на Снобе -- в ней я давно заскучала.

Перетряхиваю бизнес план Фемософии -- пора растить юникорна.

Иду и бронирую Мальдивы, вот так, ниоткуда, на последние.

Последнее задание, какая моя тайная сила? Вытягиваю метафорическую карту. На ней рыжий кот рисует на мольберте рыбу.

И я решаю, что заведу еще кота, как хотела, и как мечтали дети. И это будет про мою власть творить свою жизнь и быть для них волшебником.

И что вместо удочки у меня - краски моих слов.

Ими я нарисую себе любую пищу, как кот - рыбу.

Что нарисую, то и будет.",📄
Прощальное письмо,,,"Сядьте поудобнее и позаботьтесь, чтобы никто вас не беспокоил. Подумайте, кому вы хотели бы адресовать письмо? Это может быть страх успеха или другой адресат, каким вы его видите. Может, это негативная установка, которая тормозит вас, например, «Я не имею права на ошибку». Дальше в письме вы будете обращаться к этой установке.

Письмо будет состоять из 3 частей:

🖋 Чему ты меня научил/а?

🖋 Почему я хочу расстаться с тобой?

🖋 Чему новому я научусь? Что займет освободившееся место в моей жизни?

Когда вы напишете письмо, можно обсудить каждую часть с терапевтом. Он поможет проверить его и скорректировать какие-то моменты, возможно, обратит внимание на формулировки.

После этого текст письма используется как аутотренинг. Первое время его лучше перечитывать каждый день, а после – в тех случаях, когда почувствуете необходимость.",📄
Как найти точки стабильности — WADE,,Решения,"Важно определить, где у вас точки стабильности, а где вы не можете ничего контролировать. Для этого есть специальная матрица WADE. Принцип очень простой — выгружаете все, что вас беспокоит и распределяете по 4 категориям. Смотрите пример в картинке.

У вас получится 4 категории:

- То что идет хорошо и что вы можете контролировать. Сейчас этого может быть мало. Но даже если вы сейчас вместе с любимыми людьми и можете поддерживать эти отношения — это уже многое. Это даст нам с вами опору, чтобы действовать дальше.

Точки контроля — вообще очень важная территория. В кризисные времена нужно смотреть, где у вас что под контролем, фокусироваться на этом. Например, банальная прогулка по улице, где вы точно знаете, что дойдете из точки А в точку Б — это тоже про это. Или то, что вы можете сейчас пробежать 5 км. Или что можете сварить суп. Вот такие банальные вещи.

Сюда же относятся рабочие области. Если у вас есть работа — не бросайте ее. Старайтесь делать хоть малое. В привычных процессах у нас есть шанс успокоиться и обрести хоть немного холодный рассудок.

- Вторая категория — это то, что идет хорошо, но вы не можете контролировать. Это например, весна. Весна наступает и это уже ок.
- Третья — то что идет плохо, но вы можете это контролировать. В кризисы такие категории расплывчаты. Например, сейчас мы не знаем, можем ли мы контролировать свою безопасность. Скорее, нет. Но есть вещи, которые можно как-то исправить и зафиксировать.
Например, мы можем составить разные планы на оптимистичный и пессимистичные сценарии.
Или купить гречки на всякий случай. Или поддержать своих близких.

Поддержка в такие моменты крайне важна, как и наша причастность к сообществу единомышленников. Я пишу этот пост для людей, которые выступают за мир. И тут есть несколько важных советов:

Не вступайте в споры с теми, кто разговаривает словами из телевизора. Не тратьте ресурс, он нам нужен сейчас. Придумайте универсальный ответ каждому, создайте правило — что говорить, когда такое начинается. У меня это фраза «Вы говорите, как бот. Я не общаюсь с ботами и не буду с вами это обсуждать».

Больше говорите с теми, кто с вами на одной волне. Было бы хорошо узнавать нам друг друга как-то на улице, чтобы чувствовать, что нас все же много. И чувствовать себя легче.

Ограничьте поток информации. Есть вещи, на которые мы точно не можем повлиять. От нагнетания фона становится только хуже. Лучше определить себе 1-2 источника и смотреть туда не каждые 5 минут. Отвлекайтесь, уберите каналы в архив и усложните себе доступ к этой информации.

Дайте выход эмоциям. Если все время сдерживать себя, стресс может полностью лишить рассудка. Лучше разрешать себе выпускать эмоции — бегом, криком, ревом, как угодно, как вам будет легче. Но делать это подконтрольно. То есть — осознанно выпустить эмоции, и потом вернуться в рабочее состояние.

Не бухайте. Не надо. Нужна светлая голова, холодная и чистая. Сделайте что-то хорошее для людей рядом с вами. Хоть что-то.

- И четвертая категория. Это то, что идет плохо, но вы не можете это контролировать. Обычно в практике этой матрицы мы здесь или принимаем ситуацию или просим о помощи. О помощи нам с вами просить не у кого, принять ситуацию — не значит, с ней согласиться. Это значит, осознать, что она может произойти, но мы на это не влияем.

Я бы отнесла сюда угрозу мира в целом. Зачем это выносить в отдельные категории? Чтобы оставить в работе только то, что у вас будет в квадранте «Идет плохо, но я могу это контролировать». Собраться, быть с холодной головой, горячим сердцем и глядя в свои глаза в зеркале, чувствовать свою правду.

Сила всегда в правде.

Попробуйте выгрузить из головы сейчас все эти мысли по матрице. Это поможет чуть снизить градус паники. И продумать планы действий.

![AA18CA69-F35F-425A-AA79-4D69A6E51CD2.jpeg](%D0%9A%D0%B0%D0%BA%20%D0%BD%D0%B0%D0%B9%D1%82%D0%B8%20%D1%82%D0%BE%D1%87%D0%BA%D0%B8%20%D1%81%D1%82%D0%B0%D0%B1%D0%B8%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20%E2%80%94%20WADE/AA18CA69-F35F-425A-AA79-4D69A6E51CD2.jpeg)",🧠
Как сохранить волю к жизни?,,,"**Представь себе, что в будущем точно есть место, такая точка, где все ситуации пройдены, прожиты, исцелены.**

Есть точка, в которой то, что ты проживаешь сейчас, окажется далеким прошлым.

И есть такая версия, что то, что ты проживаешь сейчас, было для тебя целительным опытом. Ты бы никому и никогда не пожелала такое пережить, и не хочу повторить, но я ситуации благодарна, потому что она что-то во мне открыла, я стала шире, спокойнее, человечнее.

Что это за точка в будущем? Напиши про нее. Что происходит с тобой, как ты выглядишь, как себя чувствуешь. Где ты живешь, чем занимаешься, в чем твой интерес. Чем ты служишь, что отдаешь людям, что тебя наполняет, питает, что дает тебе жизнь?

Из этой точки посмотри и назад и скажи, каков был смысл этого сложного периода.

Точка контакта с собой и возможность действовать так, как будто есть определенность.",📄
24 вопроса для сложной ситуации,,,"1. О каких совершенно диких и фантастических способах разрешения/преобразования этой ситуации я еще не думал? 
2. Что в этой ситуации можно исследовать? На какие ""как"", ""почему"" и ""что из этого выйдет"" можно попробовать найти ответ? 
3. Чему эта ситуация приглашает меня научиться? Какие знания и умения могут мне помочь справляться с ней лучше? 
4. Какие у меня есть убеждения, касающиеся этой ситуации? Как они возникли? Каковы противоположные убеждения? На чем они основываются? Где я начинаю действовать на автопилоте (""дальше как в тумане"")? 
5. Если бы ко мне за советом обратился человек в похожей ситуации, на что бы я порекомендовал/а ему обратить внимание? В чем тут суть? 
6. Чего я изо всех сил не хочу в этой ситуации делать, но понимаю, что это необходимо, и знаю, что сделаю? 
7. Какую линию нужно выдерживать в этой ситуации, пусть это и может быть сложно? От чего я решаю не отказываться, что я буду продолжать делать, несмотря на трудности? 
8. Что я на самом деле чувствую в этой ситуации, хотя ловлю себя на том, что ""не должен"" этого чувствовать? Чего я хочу, пусть мне и неловко в этом признаться даже себе? Что я считаю правильным? 
9. Что в этой ситуации приглашает меня в приключение? Какой шанс она мне дает? Как я чувствую в своем теле, что эта ситуация стоит того, чтобы полностью включиться в нее, прожить ее, испытать ее? 
10. Как прожить эту ситуацию так, чтобы в результате было больше общности, близости и любви? 
11. Где в этой ситуации не хватает заботы, поддержки и нежности? Кто в этой ситуации обижен? Как нужно действовать/общаться в этой ситуации, чтобы в итоге все почувствовали себя лучше? 
12. В чем возможные причины, почему участники ситуации ведут себя именно так, а не иначе? Как я могу в этой ситуации повести себя максимально красиво, с достоинством, в соответствии со своими ценностями и общими правилами приличия? 
13. Как в этой ситуации распределяется ответственность? Если эта ситуация затрагивает некое социальное целое (семью, группу, организацию, команду, сообщество), что было бы хорошо сделать мне, чтобы поддержать это социальное целое? Есть ли у меня представление о том, что хорошо было бы сделать ради блага социального целого другим участникам ситуации? Как я могу сообщить им об этом? 
14. Кто в этой ситуации автоматически получает больше преимуществ? Как можно уравновесить ситуацию, чтобы у тех, чьи интересы/возможности ущемляются, появился бы шанс высказаться, быть услышанным, удовлетворить свои потребности? 
15. Что и как можно сделать, чтобы направить активность участников ситуации в конструктивное русло? Чтобы потом участники, по возможности, вспоминали эту ситуацию с гордостью и удовольствием? 
16. Есть ли в этой ситуации моменты, где кто-то поступил плохо со мной, и я на этом ""застреваю""? Что может помочь мне ""отпустить"" эти моменты и простить тех, кто так или иначе обидел меня? 
17. Какими аспектами своего поведения в этой ситуации я доволь_на? Что для меня настолько естественно, что мне было бы неловко, если бы на это обратили внимание и начали меня за это хвалить? Что мне нравится делать, как ""невидимому ангелу-хранителю""? 
18. Что в этой ситуации делать или говорить не стоит, потому что потом, возможно, придется расхлебывать неприятные последствия? А где нужно заранее ""подстелить соломки"", на случай неблагоприятного развития ситуации? 
19. От удовлетворения каких сиюминутных желаний и потребностей в этой ситуации имеет смысл отказаться - чтобы двигаться к реализации больших и значимых целей в будущем? Что мне нужно делать, пусть понемногу, но систематически, чтобы изменился я – а тем самым, и ситуация? 
20. Какие аспекты этой ситуации совершенны, красивы, вызывают вдохновение? Где проявляется мастерство - природы или человека? 
21. Что в этой ситуации уже хорошо? За что и кого можно поблагодарить? 
22. К каким хорошим последствиям может привести эта ситуация, если лучшие тенденции, присутствующие в ней, будут развиваться? Что можно сделать, чтобы поддержать развитие этих лучших тенденций? 
23. Что в этой ситуации смешного? Как можно добавить смешного в эту ситуацию? Что можно сделать, чтобы развеселить и рассмешить участников ситуации? 
24. Как эта ситуация помогает мне соприкоснуться с Чем-то Большим в моей жизни? Каков ее смысл в моем духовном поиске? Как ее можно использовать для духовной практики? Что может измениться в этой ситуации, если я внесу в нее то качество присутствия, которое дает духовная практика?",📄
