title,time,type,description,icon
ОКР: как мозг ставит цели,,,"[Анна Обухова. OKR изнутри - как мозг ставит цели](https://www.youtube.com/watch?v=o3PmFZ56fCk&t=3s)

![Снимок экрана 2021-08-27 в 10.05.59.png](%D0%9E%D0%9A%D0%A0%20%D0%BA%D0%B0%D0%BA%20%D0%BC%D0%BE%D0%B7%D0%B3%20%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%20%D1%86%D0%B5%D0%BB%D0%B8/__2021-08-27__10.05.59.png)

### Шаг 1: быть

Какой я сейчас?

![Снимок экрана 2021-08-27 в 10.05.46.png](%D0%9E%D0%9A%D0%A0%20%D0%BA%D0%B0%D0%BA%20%D0%BC%D0%BE%D0%B7%D0%B3%20%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%20%D1%86%D0%B5%D0%BB%D0%B8/__2021-08-27__10.05.46.png)

Каким я хочу быть, когда достигну? Как мне захотеть самого себя в этот момент?

Притягательная цель, вкусная, максимально привлекательная (чтобы мозг выделил энергию) – предвкушение!

![Снимок экрана 2021-08-27 в 10.05.23.png](%D0%9E%D0%9A%D0%A0%20%D0%BA%D0%B0%D0%BA%20%D0%BC%D0%BE%D0%B7%D0%B3%20%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%20%D1%86%D0%B5%D0%BB%D0%B8/__2021-08-27__10.05.23.png)

### Шаг 2: делать

Активировать «человеческую часть мозга» – переводить осознаваемые цели в цифры

![Снимок экрана 2021-08-27 в 10.07.51.png](%D0%9E%D0%9A%D0%A0%20%D0%BA%D0%B0%D0%BA%20%D0%BC%D0%BE%D0%B7%D0%B3%20%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%20%D1%86%D0%B5%D0%BB%D0%B8/__2021-08-27__10.07.51.png)

Экстраполировать и предвкушать

Точки в 90 днях от меня, чтобы понимать, иду ли я к желаемому результату или ничего не происходит? 

И встраивать систему авторизации результата (получить результат, я молодец, подтвердить статус, я вижу, как я иду по направлении к тому себе, которого я хочу, я вижу кусок за куском пути, я могу опереться на то, что я двигаюсь к целям)

Счастье человека — когда в целом доволен собой, двигаюсь к цели, которая мне интересна, я могу следить, как я к ней иду, что постепенно становится лучше и ближе.

Нет крупной цели - не будет счастья

Нет понимания, как идти – не будет счастья

Нет чувства, что я молодец – не будет счастья

![Снимок экрана 2021-08-27 в 10.12.39.png](%D0%9E%D0%9A%D0%A0%20%D0%BA%D0%B0%D0%BA%20%D0%BC%D0%BE%D0%B7%D0%B3%20%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%20%D1%86%D0%B5%D0%BB%D0%B8/__2021-08-27__10.12.39.png)

п.1 – нужен, чтобы понять, как результат повторить
п.4 – рассказать про Путь героя, как со всей дури туда шли, добавить эмоцию

В человеке мало энергии, нужно добавить котика и внутреннего крокодила, чтобы энергии добавилось.

**Схема счастья человека:**

![Снимок экрана 2021-08-27 в 10.33.52.png](%D0%9E%D0%9A%D0%A0%20%D0%BA%D0%B0%D0%BA%20%D0%BC%D0%BE%D0%B7%D0%B3%20%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%20%D1%86%D0%B5%D0%BB%D0%B8/__2021-08-27__10.33.52.png)

### Шаг 3: я могу этого достичь

два врага: страшно и скучно (для мозга это одно и то же)

скучно – я делаю то, что не ведет меня к достижению собственных целей, включается кортизол – амигдала распухает и делает всё страшным, выдается сильная реакция

вроде как выработали дофамин – но миндалина блокирует страхом – и не направляет дофамин на цели

Чтобы было не страшно и не скучно, нам нужна команда – вместе менее страшно и менее скучно! Возможность концентрации внимания больше, меньше отвлечений, больше возможностей (особенно когда работа идет в паре)

Не обязательно достичь 100%, можно достичь на 70-80%. Разрешить себе не достигать на 100% – это сильно снижает тревожность и кортизол. Чем больше кортизола – тем меньше силы воли. Чем больше дофамина – тем больше энергии.

Делим на мелкие инициативы:

![Снимок экрана 2021-08-27 в 10.40.31.png](%D0%9E%D0%9A%D0%A0%20%D0%BA%D0%B0%D0%BA%20%D0%BC%D0%BE%D0%B7%D0%B3%20%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%20%D1%86%D0%B5%D0%BB%D0%B8/__2021-08-27__10.40.31.png)

Осознанно человек может: согнуть мышцы и сконцентрировать внимание на чём-то внешнем или внутреннем. Согнуть или сосредоточиться. Всё 😂

Всё, что мы можем – делать маленькие шаги.

**Если мозг не может разложить действия на мелкие составляющие, то появляется пустое усилие.**

Когда мы пытаемся заставить себя успокоиться или сделать крупную цель, которая нам вообще не понятна – случается ступор, задача кажется очень сложной, а награда за нее – непонятной. Тут нет и не будет энергии. 

**Мы сами придумываем метрики и инициативы, а не получаем их извне. Важно, чтобы человек принимал участие в разработке инициатив и целей, чтобы выдана была энергия на достижение целей.**

### Мотивационная модель:

![Снимок экрана 2021-08-27 в 10.45.53.png](%D0%9E%D0%9A%D0%A0%20%D0%BA%D0%B0%D0%BA%20%D0%BC%D0%BE%D0%B7%D0%B3%20%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%20%D1%86%D0%B5%D0%BB%D0%B8/__2021-08-27__10.45.53.png)

Люди хотят идти в сторону награды и уходят от наказания – это вся система мотивации. Если есть хоть намёк на повышение статуса – это воспринимается как награда, если повышение – наказание. То же самое с определенностью и хаосом, автономностью, принадлежностью и справеливостью.

Мы можем **посмотреть на цели** с этой позиции (посмотреть на себя и на человека в команде):

- что сделает цель со статусом (-2 или +1?)
- а с определенностью? всё понятно и поделено на маленькие шаги?
- а с принадлежностью? мы делаем вместе?
- а с автономностью – микроменеджмент есть?

Так мы захотим и сможем дойти до цели.",📄
Виды голода,,,"22 ГОЛОДА или НЕ ЕШЬТЕ СВОИ ЧУВСТВА.

Если в стакан наливать воду, ты не можешь налить больше, чем войдет в стакан. Если есть по голоду, то не съешь больше, чем нужно, чтобы насытиться. Теоретически. Практически ""голодов"" у нас много.

Помните анекдот про сушняк с похмелья? ""Воды не было, я купил печенья"". Вот примерно то же самое происходит во всех 22 видах голода, которые мы испытываем.

***Того, что мне нужно не было, я купил еды***

ГОЛОД ПО СЛОВАМ ПОДДЕРЖКИ И ПОНИМАНИЯ

Нам очень важно знать, что в этом мире мы не одни, что кто-то - за нас. Мы нуждались в добром слове в детстве, и мы нуждаемся в нем сейчас - иметь рядом близких, которые смогут поддержать, сказать: ""Я знаю, как тебе нелегко, и вижу, как ты сражаешься. Я за тебя и на твоей стороне. Ты можешь на меня рассчитывать"".  Если в детстве нас не успокаивали и не утешали, мы утешались конфетой, зажевывая сладким соленые слезы.

ГОЛОД ПО ПРИНЯТИЮ И ЛЮБВИ

Когда с детства мы получали условную любовь - чтобы с нами были ласковыми, мы обязаны были не проявлять эмоций, не досаждать, не требовать, не быть, слабыми, нуждающимися, мы научились заедать эту потребность, как бы сглатывать себя - и в ответ получать теплый взгляд и принятие. ""Хорошо кушать"" - и в ответ получать похвалу.

ГОЛОД ПО ЧУВСТВУ УВЕРЕННОСТИ В СЕБЕ

Могло быть так, что в детстве родители тревожились,  сомневались в способностях ребенка, опекали - и могло сформироваться ощущение, что в одиночку я не справлюсь. Как будто нет опоры - чувство неустойчивости. Еда, тяжесть в желудке симулирует это ощущение - крепкости, уверенности, опоры.

ГОЛОД ПО ПРАВУ НА СВОЮ ЖИЗНЬ

Часто в детстве нас высмеивают и стыдят за наши потребности, называя это эгоизмом, упрямством, неразумностью. Так формируется “направленность на других”: другие всегда кажутся важнее, им больше надо, они слабее - ну. а мы-то сильные, потерпим, выдержим. Но по сути мы подчиняемся, прислушиваемся, не хотим расстроить - тем самым смиряя себя, свое право быть собой. А еда - это разрешенное время на себя. Разрешенная возможность выбрать вкусное ДЛЯ СЕБЯ, а не ради ""всего хорошего"". И она становится побегом от круговой ответственности за окружающих.

ГОЛОД ПО ОТДЫХУ

Успешные и трудолюбивые мы часто не позволяем себе ничегонеделания, потому что внутри сидят требовательные голоса и гундят “ты должна!”, в то время как хочется свободы, отдыха, просто полениться, просто побыть вне груза обязательств и кнута долга. Но разве можно просто лежать, тупить? А вот поесть можно. ""Честно заработанный перерыв"". Единственный вариант отдохнуть - за едой. Тут никто не упрекнет, даже внутренний критик.

ГОЛОД СВОБОДЫ

Иногда в своей, в принципе хорошей жизни мы чувствуем себя как в тюрьме. Жажда нового, жажда свободы тянет нас куда-то отправиться, что-то изменить - это  про возможность исследовать и видеть новое, про живительное любопытство, про открытость, про силу познавать мир.

ГОЛОД НОВЫХ ОЩУЩЕНИЙ

Часто еда, новые рестораны и вкусности - единственное, чем мы питаем потребность в новизне. Особенно когда мы вынужденно делаем изо дня в день одно и то же - работа, семья, дом. Но наша психика нуждается в разнообразии, ей хочется новых вкусов в широком смысле, а не только вкусностей! .

ГОЛОД ЭМОЦИОНАЛЬНОЙ БЕЗОПАСНОСТИ

Когда с собственными границами тяжело, эмоции охватывают, берут верх, и “несет” - часто это дает ощущение небезопасности, как будто себе нельзя доверять до конца.  Это могут быть срывы в агрессию, внезапные ссоры, разрыва отношений, скандалы, от которых потом тошно.    

Так случается, когда в детстве родители нам эмоции просто запрещали вместо того, чтобы научить их регулировать.

Маленький ребенок не может научиться этому сам, он просто подавляет то, что ему запрещают.  

Подавленные эмоции создают огромное внутренне напряжение, они вырываются наружу и пугают своей силой, и запускают порочный круг подавления. ""Заземление"" с помощью тяжести в желудке, снятие напряжения через ""хрустение"", жевание, глотание становятся таким естественным способом регулировать себя.

ГОЛОД ПО ВНУТРЕННЕЙ ДИСЦИПЛИНЕ

То, что мы  называем ""внутренней дисциплиной"" - рождается из признания своих потребностей и заботы о себе. Если это умение не сформировано в детстве - потому что нас ""дисциплинировали"" упреками и стыдом, вместо это формируются качели ""требование - бунт"". Как будто мотает  между двумя крайностями: то решаешь с понедельника поменять жизнь, то забиваешь на все и прорывается бунт - ""имею право""!, ""да пошли вы все!"". Хочу и ем. Заслужила.

ГОЛОД НА ""НЕТ"".

Иногда хочется крикнуть “нет!”, отказаться, вообще внезапно стать неудобной и сделать по-своему. Но внутри начинается хор голосов: ""Разве можно? Они не поймут, обидятся, уйдут, рассердятся… Это “нет”, этот протест копится внутри, и вырывается в еду - назло, или чтобы снять напряжение, или чтобы сбежать. Там, с едой, ты, наконец, отказываешься слушаться и делаешь, что хочешь!  Только вот нужна тебе совсем не протестная еда, а право отказаться: от неприятного дела, от травмирующих отношений, от скучной работы, от ненужных обязательств.

ГОЛОД ПО НЕХРУПКОСТИ МИРА

Много внутренних причин придумывает психика, чтобы обосновать запрет на выражение своих эмоций, ведь в детстве это было никому не интересно и не нужно - а утешение находилось в еде. Кажется, что вокруг все такие хрупкие, что если ты не позаботишься о них, они буквально развалятся на части: обидятся, расстроятся, не справятся сами. Тебе кажется, что нужно всех их тащить на себе, всех спасать, понимать, оберегать - где уж там место для себя.
Это очень одинокое место, когда единственный нехрупкий друг - это одиночество, еда или бокал вина.

---",📄
Как доверять себе и другим,,,"Опра Уинфри: «Проявлять смелость в жизни и в работе и никого при этом не разочаровать – невыполнимо!»

«Оставаться наедине с собой в окружении строгих критиков и противостоять давлению можно, только если вы умеете доверять...»

Чарльз Фельтман описывает доверие как «выбор пойти на риск и проявить уязвимость, открыть другому доступ к чему-то ценному для меня», а недоверие – как решение: «то, что важно для меня, находится в небезопасности рядом с этим человеком»

### ДОВЕРЯТЬ ДРУГИМ

Границы

Ты уважаешь мои границы, и когда тебе непонятно, как со мной можно и как нельзя поступать, – ты задаешь вопрос. Ты можешь сказать «нет».

Надежность

Ты делаешь то, что обещаешь. В работе ты учитываешь собственные ограничения и компетенции, чтобы не обещать больше того, что ты в состоянии выполнить, а также всегда доводишь дело до конца и разбираешься в приоритетах.

Ответственность

Ты признаешь свои ошибки, извиняешься, а если нужно – исправляешь то, что пошло не так.

Тайна

Ты не делишься информацией и опытом, если у тебя нет на это разрешения. Мне нужно знать, что ты хранишь мои секреты и не раскрываешь мне чужих.

Цельность

Ты выбираешь действие, а не покой. Ты предпочтешь то, что считаешь правильным, тому, что весело, легко и достижимо. Ты выполняешь обещанное.

Отказ от оценки

Я могу просить о том, что нужно мне, а ты можешь просить о том, что нужно тебе. Мы не будем оценивать того, кто просит, как слабого, а того, кто дает, как сильного.

Благородство

Ты постараешься наиболее щедро истолковать мои намерения, слова и действия. Ты веришь, что каждый делает лучшее из того, на что способен.

### ДОВЕРЯТЬ СЕБЕ

Границы

Отстаиваю ли я свои границы? Говорю ли о том, как можно и как нельзя со мной поступать?

Надежность

Соблюдаю ли я договоренности? Обещаю ли то, что смогу выполнить?

Ответственность

Признаю ли я, что это моя вина, когда она действительно моя? Отвечаю ли я за свои поступки?

Тайна

Уважаю ли я чужие секреты? Делюсь ли только тем, чем имею право делиться?

Цельность

Совпадают ли мои слова с моими делами? Действую ли я, когда чувствую, что это важно?

Отказ от оценки

Прошу ли я о том, что мне нужно? Оцениваю ли я того, кто попросил о помощи?

Благородство

Благородно ли я поступаю с собой? Истолковываю ли я свои поступки, намерения и слова с добрым сердцем?

Джозеф Кэмпбелл пишет: «Если вы продумали свой путь заранее, имейте в виду: он не ваш. Вы создаете настоящий путь с каждым сделанным шагом – так он и становится вашим»",📄
Выход на новый уровень,,,"Новый качественный способ общения со старыми и новыми людьми. И качество взаимодействия с собой.

- [ ]  Список из 100 активов (сил)
- [ ]  Иерархия проблем (что не устраивает, что повторяется, что хочется изменить)
- [ ]  Какие качества стоят за проблемами
- [ ]  Список намерений",📄
Работа Байрон Кейти,,,"Давненько мы не вспоминали мозгопрочищающий метод Байрон Кейти. В ситуации, когда нас от кого-то бомбит, когда мы злы, обижены и раздосадованы, что отдельные от нас люди ведут себя не так, как мы придумали, - незаменимая метода.

Итак, начинаете описывать НА БУМАГЕ, не стесняясь в выражениях, в обвинительной манере, конкретного агрессивного человека или некий собирательный образ: ""он/а не думает о..."", ""он/а двуличный(ая), бесчувственный(ая)"", ""использует унижающие слова, бьет по самооценке"" и пр. Если вы чувствуете, что в этом процессе у вас боли гораздо больше, чем любопытства, то не стоит продолжать эту практику.

Потом перечитываете и задаете вопрос: реальность на самом деле такова? вы на 100% уверены, что именно это описание отражает истинное положение вещей? можете подтвердить, что это именно так и никак иначе?

Потом делаете 3 переворота.

Первый переворот: перепишите про описываемого человека все с точностью до наоборот ""он наоборот НЕ..."".  Найдите 3 аргумента, подтверждающие это.

Второй переворот: перепишите то же самое о себе по отношению к нему ""это не он, а я..."". Найдите 3 аргумента, подтверждающие это.

Третий переворот: перепишите это про себя по отношению к себе. Найдите 3 аргумента, подтверждающие это.

Краткий пример:
Утверждение: ""он гнобит меня, выпячивает мои недостатки, специально преувеличивая их, нападает за любую ерунду и оплошность""

Первый переворот: ""он НЕ гнобит меня, НЕ выпячивает мои недостатки, специально НЕ преувеличивает их, нападает НЕ за любую ерунду и оплошность"" + найти 3 исключения, то есть аргумента ""за"" это перевернутое утверждение (помня, ""сопротивление процессу - тоже процесс"").

Второй переворот: ""это Я гноблю ЕГО, выпячиваю ЕГО недостатки, специально преувеличивая их, нападаю за любую ЕГО ерунду и оплошность"" + найти 3 исключения, то есть аргумента ""за"" это перевернутое утверждение.

Третий переворот: ""это Я гноблю СЕБЯ, выпячиваю свои недостатки, специально преувеличиваю их ДЛЯ СЕБЯ, нападаю НА СЕБЯ за любую ерунду и оплошность"" + найти 3 аргумента ""за""  это перевернутое утверждение.

При абстрактном описании сначала кажется, что полная фигня. Но в живом процессе очень упитанные инсайты догоняют, многое становится на свои места и ты вдруг видишь, что никакого парадокса, все закономерно, как это ни жаль.",💼
Исследуем сочувствие к себе: пишем письмо,,Любовь к себе,"Источник: Самосострадание

А. Каждому из нас что-то в себе не нравится — что-то такое, из-за чего мы ощущаем стыд и неуверенность и считаем себя «недостаточно хорошими». Несовершенство — удел человека, ощущение своей несостоятельности и неполноценности — часть жизни. Попробуйте припомнить что-то, из-за чего вы, как правило, ощущаете неполноценность и недовольство собой (внешность, работа, взаимоотношения и т. д.). Какие ощущения вызывает у вас эта черта: страх, печаль, тоску, неуверенность, злость? Какие эмоции у вас возникают, когда вы думаете об этой своей особенности? Пожалуйста, постарайтесь быть как можно более искренними в проявлении эмоций, не подавлять никакие чувства и в то же время избегать мелодраматичности. Просто попробуйте увидеть свои эмоции такими, какие они есть, — не более и не менее того.

Б. Теперь представьте друга, который безоговорочно любит и принимает вас и проявляет к вам доброту и сострадание. Представьте себе, что этому другу известны все ваши сильные стороны и слабости, включая ту особенность, о которой вы только что вспоминали. Подумайте, что этот друг чувствует по отношению к вам, представьте, что он вас любит и принимает именно таким, какой вы есть, со всеми вашими столь человеческими недостатками. Этот друг знает о природных ограничениях человека, он добр к вам и снисходителен. Будучи очень мудрым, этот друг видит всю историю вашей жизни, миллионы фактов, и сейчас воспринимает вас таким, какой вы есть. Ваш отдельный изъян связан с огромным множеством факторов, которые вряд ли от вас зависели: с генами, с семейной историей, с жизненными обстоятельствами — с тем, на что вы не могли повлиять.

Напишите себе письмо от лица этого воображаемого друга, сосредоточившись на субъективном изъяне, за который вы склонны себя осуждать. Что сказал бы о вашем «недостатке» этот друг, безгранично вам сострадающий? Как бы он выразил свое глубокое сочувствие, особенно к тому, что вам крайне неприятно, когда вы себя так резко осуждаете? В каких словах этот друг напомнил бы вам, что вы просто человек, а у всех людей есть сильные стороны и слабости? И если вы думаете, что друг предложил бы вам что-то поменять, то как в его идеях воплотились бы безоговорочное понимание и сострадание? Когда будете писать себе письмо от лица воображаемого друга, постарайтесь, чтобы оно было проникнуто глубоким приятием, добротой, заботой и стремлением к тому, чтобы вы были здоровы и счастливы.

Теперь ненадолго отложите письмо. Потом перечитайте — так, чтобы каждое слово глубоко запало в душу. Ощутите, как в вас вливается сострадание, как оно вас успокаивает и освежает, подобно прохладному ветерку в жаркий день.

У вас есть неотъемлемое право на любовь, соединение с другими и принятие. Чтобы воспользоваться им, достаточно просто заглянуть внутрь себя.

Отрывок из книги: Кристин Нефф. «Самосострадание».",❤️
World cafe,,,"Сначала мы выбираем темы для каждого столика в кафе. 

1) каждая команда разрабатывает идеи для своего проекта (10 минут)

2) после этого один человек из команды остается за столом, а другие двигаются к другим командам

3) хост называет проект, его цель, зачитывает идеи — 2 минуты, гости озвучивают свои мысли (правила; не критиковать озвученные идеи, называть только новые) – здесь тайминг уменьшается: 7 минут, 5 минут, 3 минуты.

4) команды переходят на новые посты по часовой стрелке

5) когда команда возвращается на свое место, есть время на интеграцию всего, что было придумано (20 минут)

6) презентация командами проектов (первых шагов или вопросов, на которые нужно найти ответы)",📄
"Вопросы себе по итогам дня, вечерний дневник",,,"Опираясь на работу Рона Клага, Марк Смит предлагает набор вопросов для ведения «вечернего дневника» — отчета о прожитом дне:

Возвращаясь мысленно к прожитому дню, на что я обращаю внимание больше всего? Каковы были наиболее важные события?
Что сделало этот день уникальным, отличным от всех иных?
Были ли у меня какие-то особенно осмысленные разговоры?
Читал ли я что-то? Как я отнесся к прочитанному, что извлек из него?
Какое у меня было настроение в течение дня? Какие были эмоциональные «взлеты» и «падения»? С чем они были связаны? Понимаю ли я, что они значат для меня в контексте моей духовной практики и развития?
Беспокоился ли я о чем-то сегодня?
Что больше всего радовало меня сегодня? Что мне удалось совершить сегодня?
Было ли что-то, что мне не удалось? Чему я могу из этого научиться?
Чему я научился сегодня? В какие моменты я чувствовал себя наиболее живым?
От чего я сегодня уклонялся, отлынивал, что откладывал, чего избегал?",📓
Ревизия 90 дней,,Бизнес,"- Поразмышляйте о прошедшем квартале: чем из достигнутого вы гордитесь?
- Что из того, на чем вы сейчас сосредоточены и в чем замечаете прогресс, укрепляет вашу уверенность?
- Поразмышляйте о предстоящих 90 днях: какие нововведения, проекты или цели вызывают у вас чувство предвкушения?
- Какие пять «скачков» (сжатый прогресс) вы можете совершить, чтобы сделать следующие 90 дней замечательными вне зависимости от того, что ещё может произойти?
- Кто вам может в этом помочь?",🎯
Ретроспектива недели,,Планирование,"**Оцените по 10-бальной шкале:**

- каков был уровень физической энергии? качество сна?
- какой в целом уровень счастья в жизни? какие моменты приходят?
- уровень счастья в деятельности?
- качество отношения с близкими?
- качество отношений на работе?
- что давало энергию?
- что забирало энергию?

Что беру ценного из прошедшей недели?",🎯
Дневник личного и профессионального развития,,Профессиональное развитие,"Что я сделал хорошо?

Что мне помогло сделать это хорошо (какие умения, знания, качества, опыт)?

Что бы я сделал в аналогичной ситуации по-другому в следующий раз?

Чему мне для этого необходимо научиться? На какие вопросы найти ответы для себя?

Какие направления из этого прорастают?

Полное описание:

Эту методику я нашла году в 2003-2004 на сайте университета Массей в Новой Зеландии, дисциплина «психология сообществ».

Будущим психологам сообществ предлагалось завести блокнот или тетрадку и на внутренней стороне обложки записать себе четыре вопроса:

1. Что я сделал хорошо?

2. Что это говорит о том, что для меня важно? Какие у меня есть умения?

3. Что бы я в следующий раз стал делать по-другому?

4. Чему мне для этого необходимо научиться?

Эти наводящие вопросы помогают занять активную позицию в учении — в любом контексте.

Оценки за этот дневник студентам не ставились, естественно, но примерно раз в три месяца студенты должны были представить своему супервизору рефлексивное эссе на 2-3 страницы, в котором им предлагалось ответить на следующие вопросы:

1. Какие темы повторяются?

2. Чего не хватает из того, что должно бы быть?

3. Какие изменения произошли в записях?

4. Что стало более важным?

5. Что стало менее важным?

6. Как изменилось с тех пор ваше восприятие и понимание ситуаций?

7. Как изменилось ваше представление о том, что значит «быть профессионалом»?

8. В чем вы стали более уверены?

9. С какими ситуациями вы стали справляться лучше?

Обсуждение этого эссе с супервизором, насколько я понимаю, и являлось «зачетом».

Это хорошая методика, с которой можно начать знакомство с письменными практиками, чтобы понять, «ваше» это или «не ваше». Можно попробовать ее в «кратком» варианте, поставив таймер на 5-10 минут и отвечая на каждый из 4 основных вопросов не особенно развернуто. Если у вас есть больше времени, можно уделить работе с этой методикой 15-20 минут за один присест. После работы, как всегда, имеет смысл «сделать внутри себя шаг назад» и записать рефлексивный отклик.",📓
Особняк,,,"![E6937B60-088C-439A-8A64-0E1C23C70C16.jpeg](%D0%9E%D1%81%D0%BE%D0%B1%D0%BD%D1%8F%D0%BA/E6937B60-088C-439A-8A64-0E1C23C70C16.jpeg)

Представьте себе, что вы – особняк. Используется всего лишь несколько комнат, – окна в них открыты, и каждый уголок залит светом. Но есть там и комнаты, в которые вы никогда не заходите. Они темны и постоянно заперты, поскольку вам кажется, будто там лежит что-то плохое или страшное.

В процессе работы с сознанием, по мере того как обретаешь все больше силы, отваги и любви к себе, ты начинаешь заходить в эти комнаты и зажигать в них свет. При этом вы обнаруживаете много замечательных мест, о которых и не знали прежде. В конце концов вы уже знаете весь свой особняк и можете использовать каждую комнату –ведь у них всех есть своё назначение.

Пока не обжита хоть одна из этих комнат, человек не знает до конца, кто он есть и что такое жизнь.

В какие комнаты своего внутреннего особняка я не захожу?

Есть ли там комнаты, которые я могу исследовать сейчас же?",📄
Быть и иметь,,,"Сформулируйте ответы на любой из этих вопросов (можно на оба): кем я хочу быть? что я хочу иметь?

Далее работаете со своими ответами следующим образом.

❓Вопрос: ""Кем я хочу быть?""
Ответ: ____________

Вопрос: Во что такое я верю о самом себе и об устройстве мира, что не позволяет мне уже сейчас быть тем, кем мне хочется?
Ответ: ____________

Вопрос: Судя по моим верованиям о себе и убеждениям об устройстве мира какого жизненного опыта и переживаний я избегаю?
Ответ: ____________

❓Вопрос: ""Что я хочу иметь?""
Ответ: ____________

Вопрос: Во что такое я верю о самом себе и об устройстве мира, что не позволяет мне уже сейчас иметь то, что мне хочется?
Ответ: ____________

Вопрос: Судя по моим верованиям о себе и убеждениям об устройстве мира какого жизненного опыта и переживаний я избегаю?
Ответ: ____________

❗️Ваши ответы об избегаемом опыте и переживаниях указывают на те архетипические истории, которые настырно требуют проживания. Это те самые ""демоны моста"" по Арнольду Минделлу - то, что не пускает вас к желаемому ""быть"" и ""иметь"".

Что вам кажется лучшим решением? Что хочется сделать, как поступить с найденным?",📄
Личная аллея славы,,,"- [ ]  Выпишите все свои сильные стороны и достижения
- [ ]  Как ваша работа влияет на жизни людей (какие результаты за результатами?)
- [ ]  Соберите отзывы
- [ ]  Выпишите всю критику и все вопросы, которые вы бы не хотели получить. И ответьте на них",📄
